KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko01501	192982	173483	180765	201770	125807	177209	190553	146136	172071	169558	174691	170568	169637	150818	155421	194987	195610	206055	150894	145815	178784	160790	180171	185472	283782	509917	393926	402422	545607	385764	410871	440616	302414	409689	514215	643173	329209	641047	527115	666777	636383	705484	416747	314832	148426	216592	179955	14175010
ko01502	106745	93927	96539	115053	74266	101556	106008	83033	94134	93046	100236	89974	94450	83759	85385	111319	109902	113771	87752	84835	96053	89207	107373	113541	160951	247558	222927	233158	274588	215752	215998	234755	162198	209935	268204	348893	176435	335707	296386	346981	328134	415623	221107	174892	82545	120319	101740	7726650
ko01503	128060	117435	119057	128734	79905	112514	120751	91617	120398	105933	110934	114588	108121	93813	99688	132349	115260	135199	97825	93261	119829	100570	114825	114851	171614	319054	243452	224117	368697	210072	252752	239887	188475	259667	329073	411471	205263	336604	337360	412834	406770	384011	257023	180792	89904	134391	115817	8754617
ko01521	1	0	6	3	0	3	0	0	0	5	17	2	2	7	0	12	3	35	26	3	2	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	173
ko01522	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
ko01523	54683	49803	50637	56198	35226	49970	53454	38694	45193	45091	49382	45196	45178	40179	41712	54209	51738	57131	43008	41146	48853	42969	48620	52015	73501	138547	111435	105353	152752	105332	101594	118917	82724	111209	143378	176944	87643	162518	155930	185737	176089	189591	112599	86736	38464	56501	48762	3862541
ko01524	21669	15907	19477	17646	15052	18004	20361	18024	20437	17304	20543	20282	19826	16982	18571	16969	22851	22298	18091	17056	20041	20044	22337	22134	29621	56251	46051	53804	62830	50596	45444	50163	38962	48618	67454	73330	41221	75860	67461	79168	75259	87133	53800	40520	15071	28052	19042	1667617
ko02010	463863	424393	476544	528270	346439	504856	518441	402818	396742	465787	509633	412559	469227	410529	414408	548190	600534	547052	406117	405664	443260	445077	525483	587053	886633	1327496	1212807	1238643	1397934	1298298	993411	1385720	806235	967034	1281231	1844524	863048	1961267	1427222	1899932	1743109	2544928	1137222	984337	451948	630292	537878	40074088
ko02020	362329	340550	329251	386376	250820	351999	381008	290698	321867	328208	340043	330815	330814	292733	295826	384405	389790	395420	294810	297383	335465	305934	349753	374148	545905	892896	789509	784589	997804	758713	715752	807247	581085	740387	954160	1264302	613343	1187828	990455	1279150	1169704	1479977	782286	614992	286227	448077	350574	27095407
ko02024	368040	335553	356004	406376	262872	366671	380478	293225	332016	345381	370418	329335	352932	310375	313299	413307	412863	422413	326183	301673	351941	330764	392803	416042	624339	962358	864594	897348	1055846	844123	805765	969563	594228	771838	1007262	1320744	665472	1385679	1091596	1343643	1262668	1677531	836838	682509	312114	451263	391589	29309874
ko02025	30846	34970	24786	33960	20594	29977	35288	25995	26505	32518	25992	30866	27482	26004	24680	29711	33075	33944	22468	27105	25547	23788	25703	25471	40142	94885	85335	67139	89879	71123	57243	81249	53143	65979	98679	122872	51462	118638	87645	132409	108657	127373	69036	63777	23713	33486	24752	2445891
ko02026	67491	60812	69115	71766	46899	63344	68653	54456	61737	66840	75332	60722	66211	56997	59387	82054	78943	83631	62030	61123	68275	65168	74035	83670	118404	187396	180969	162547	213980	160245	146697	174661	111962	141646	191591	246658	120738	253319	220124	260810	251195	306612	156421	122271	61539	83154	76817	5558447
ko02030	18860	16603	15813	20756	13159	16144	22348	15713	18376	18689	19543	26914	20420	18545	19454	21663	26996	22253	14392	24870	17839	16824	18802	28194	32504	33240	58385	37794	40179	50468	26039	46211	29546	35670	49681	73281	22469	80183	38364	64258	52230	116766	34414	38694	17073	46796	23008	1520423
ko02040	18174	15415	9146	16966	11264	12188	17133	11530	18925	19068	15877	37765	20802	20273	20770	19173	21334	22478	14608	34812	16479	13798	14122	23764	26966	23230	113262	23459	29467	44691	15476	25674	23901	31756	51631	67255	13567	56008	27517	49335	31451	91024	25083	33925	12319	57400	21100	1341361
ko02060	30536	26426	36467	35363	27583	38141	42429	36842	27042	47136	46207	30466	43557	36754	39619	42538	71227	42245	30156	36697	43128	44350	49145	62671	99499	153021	132954	147666	137400	180743	108400	178864	89938	99169	135111	195026	86964	289704	124556	215288	208676	358785	130754	116899	51876	57124	48716	4313858
ko03008	10252	9763	10217	11559	7155	9906	10149	7903	9677	10302	11422	10340	10455	9249	9290	12086	11785	13731	10065	9035	10627	9804	11505	11555	16849	28195	24548	24489	33299	23714	23787	25468	19261	24489	32272	38746	20912	34899	32825	41227	38388	43216	24829	21379	8789	12874	11075	853362
ko03010	338578	318942	368195	359305	253772	330230	347489	269330	330778	346399	385299	346581	357208	318679	323196	413203	400824	437890	341835	317095	370353	329958	393666	406940	603100	973020	874686	847516	1118495	801353	844262	870559	634217	817214	1070847	1317586	697503	1256371	1136011	1321342	1283820	1482411	857825	658457	301148	455893	391829	29021210
ko03013	27305	23955	25388	28308	17913	23856	26002	20541	24491	24290	25380	24697	24455	21373	21921	27741	28050	29984	22651	21176	26321	23309	25284	27514	40121	72213	57462	58609	79798	54052	56238	61212	44040	59300	77153	91086	49198	87675	82027	97920	92777	100561	61232	45907	20273	30100	24886	2035745
ko03015	3	19	17	10	8	28	2	4	4	45	82	25	28	102	6	89	19	111	114	20	17	1	33	20	0	2	0	1	7	8	0	7	0	3	0	132	0	11	2	1	5	2	0	6	26	50	110	1180
ko03018	239870	228703	230668	240223	162874	229752	246249	185912	214643	221538	230945	220708	223402	196292	202684	248985	255486	267207	201406	193966	230966	206522	236419	236431	347782	663274	511885	517515	712417	510123	522189	558252	442885	542943	702722	831140	448680	846005	708969	887163	844507	847028	555897	428148	188575	284006	224108	18478064
ko03020	81608	77158	87811	85449	57796	73454	78577	61635	79673	85813	95399	85810	89899	77264	78522	101583	97723	107070	83656	78320	89960	80055	96019	96063	137338	240595	213939	199428	276926	188313	205981	206716	159076	201479	271813	315633	170917	305889	277707	323440	318501	348629	207634	163918	73519	112152	92504	7038364
ko03022	2295	1836	2653	3100	2256	3342	3482	2734	1886	2819	3421	2309	3606	2969	2792	3673	5194	2986	2246	2177	2600	3513	3362	4787	7692	9738	9367	10139	6540	9904	6577	10901	4730	5454	5930	10935	6055	16188	8039	11632	11143	20184	7418	6732	3572	4155	3586	268649
ko03030	247343	227626	245339	260056	174510	234207	243801	188000	226259	238328	255687	234083	247715	218189	221301	285178	273559	296384	229175	215070	253769	225739	262796	274647	395211	649457	584139	572649	771891	538892	569584	572253	432805	566533	739777	872639	465599	851761	759040	891290	904810	999044	575987	446951	203935	300293	258814	19702115
ko03040	9	5	1	24	12	9	8	14	25	11	5	19	17	30	19	90	11	15	8	23	61	16	21	32	0	0	46	40	18	15	39	28	2	19	22	2	71	11	22	1	36	7	42	1	15	78	9	1009
ko03050	50	52	92	56	145	154	75	80	187	79	263	47	190	287	163	172	150	193	145	75	33	103	111	250	506	781	399	1454	869	1061	338	2635	347	408	709	989	247	1947	409	2005	1314	2795	347	1871	116	112	226	25037
ko03060	160573	152881	160976	168471	111951	150326	159498	123836	155952	155626	169260	159577	159940	139719	145650	179939	179369	194655	150337	140277	168752	146228	172975	173085	254184	466723	383988	379225	513772	369498	386451	394373	293336	384637	506959	587721	323601	570606	518010	617804	589426	626147	392605	303870	132631	203200	165882	13144502
ko03070	182789	164148	174058	178604	124631	167632	174867	134664	170352	171686	182614	192670	181571	161173	164512	194474	200158	209519	161908	156070	182393	165384	191019	195510	289405	506420	438229	415014	554814	424001	429033	429370	318058	423180	553647	650191	350208	629235	559254	658640	635236	694268	431319	331973	142369	228583	183880	14458733
ko03320	49573	42402	46762	52036	32429	43484	46230	36809	47665	40704	46140	44408	43745	37447	40247	52883	46626	54973	41962	35868	46969	42653	48077	49514	73367	124976	97006	105698	135864	90988	109832	106227	70912	103248	128491	151669	84547	147885	142787	158378	156604	172373	102307	78758	34858	49975	49126	3545482
ko03410	122448	111923	114963	131747	87305	120277	124015	97069	110055	111730	123100	107896	116811	104024	105136	139708	131942	137292	109910	102822	118254	107650	129218	139029	194482	282392	276702	270592	322346	256907	260524	266733	189930	250785	320748	398482	205558	391678	342279	400489	391121	496049	258579	198417	99362	148753	126995	9154227
ko03420	206667	189728	193511	222322	144016	196647	206693	159063	186669	189537	204937	182813	193528	171043	175838	226335	221660	233689	179652	171384	196023	178092	211064	224709	325112	499741	483918	468863	567037	433404	438373	464998	336413	434550	568825	677462	361856	675238	595985	710026	686981	840703	453764	358679	163741	243516	204973	15659778
ko03430	296936	269393	294406	312305	211752	282364	293566	228386	269630	285392	311034	274703	295810	258651	267763	343309	329058	355373	276078	260212	302802	272714	320635	339547	489608	745825	727255	684516	888798	641219	677052	670420	506569	651975	862384	1018250	551165	1000414	909025	1040322	1060658	1238387	686073	525161	245221	361040	315657	23448813
ko03440	325792	305097	323650	334475	233207	312193	324581	250663	296814	316655	342000	308749	326945	286087	293120	368438	364480	390755	305280	288199	338582	302150	353117	363286	524070	882014	777289	773530	1004208	736532	759125	780847	581318	755119	987944	1162963	628734	1145309	1015966	1205440	1207345	1316731	783552	607948	267118	400514	332780	26290711
ko03450	278	421	664	722	385	643	341	269	297	747	1188	848	1148	1398	677	2565	1315	1625	1852	980	981	1023	1379	1647	2490	1301	1656	1630	2271	3136	1469	1041	1131	933	2172	1879	1188	1737	3249	2382	2106	2959	1404	1068	1187	1102	1899	64783
ko03460	6	8	22	9	7	12	1	0	4	30	118	61	34	85	5	89	13	173	160	10	51	2	42	140	48	0	0	0	1	0	0	0	0	0	1	0	0	0	631	0	0	0	0	0	8	79	139	1989
ko04010	24	32	83	83	19	5	21	14	41	63	71	41	28	17	46	186	33	102	38	82	99	23	42	49	43	23	16	2	85	9	55	0	11	14	13	155	12	9	122	26	31	5	19	10	16	55	44	2017
ko04011	826	936	878	1096	599	524	755	510	1008	706	1499	1497	1123	869	1093	1260	1026	734	919	816	663	722	946	1297	1468	946	775	699	2747	1584	712	771	669	964	1578	2757	614	1832	1512	2148	1169	3001	703	911	370	897	1093	52222
ko04013	5526	4700	5513	5105	3105	4183	4713	3503	4993	4406	5035	5405	4683	3976	4184	4687	4828	5841	4066	3768	5343	4423	4606	4385	6156	15569	9179	9913	16321	10083	12454	10866	8702	12551	16086	17538	9813	15241	15105	18677	17856	13680	12034	8688	3294	6000	4271	381054
ko04014	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
ko04016	23577	17988	21875	18728	16268	19501	21990	19266	22259	19926	23667	23608	22387	19357	21019	18455	25719	25201	20281	19392	22331	22018	24609	24223	32335	65038	55155	58733	74421	57655	50836	56617	44592	55517	78381	84203	46839	85416	76351	92496	86368	93304	61133	45692	16249	31385	20610	1882971
ko04020	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	0	0	18	0	3	0	3	0	0	0	2	0	1	0	12	0	2	0	0	0	1	0	0	102
ko04022	26	72	73	130	35	61	29	75	85	102	257	59	86	115	62	296	86	275	64	136	68	91	64	153	62	697	79	197	385	590	26	1321	247	126	268	581	241	564	104	1019	234	2227	238	291	29	101	187	12314
ko04024	31	72	73	130	35	61	29	75	85	105	258	71	86	115	62	296	86	294	67	138	70	94	73	154	62	697	79	198	386	591	27	1322	247	127	268	582	242	565	104	1022	236	2231	238	292	29	101	187	12393
ko04060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	9
ko04062	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	3	2	4	0	1	0	0	0	79
ko04064	1	1	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	2	1	0	1	8	4	0	0	0	1	1	1	1	6	0	1	0	37	1	3	0	5	2	5	0	1	0	0	0	91
ko04066	23921	21834	23334	25745	16261	22637	23134	17121	22252	21848	24054	21893	22551	19973	21405	27468	25429	27491	20842	18338	22615	20500	25082	27660	41232	52499	58488	54294	66153	47503	51214	53003	36924	46324	62813	79248	38771	77970	65534	79370	79897	114525	50166	37600	20108	28842	27115	1812981
ko04068	8200	7636	8297	8992	4882	6790	6866	4984	7488	6556	9252	8057	7372	6404	6719	8959	7065	9003	7904	6921	7962	7033	7875	8758	10907	18680	12626	11952	23664	13307	15678	13072	11299	15259	20943	24335	12517	20068	23260	23471	22448	21792	15602	10540	4962	9068	8218	543643
ko04070	18063	17887	18466	23925	13397	18031	18664	15119	17865	18060	18778	16911	17924	15604	16291	22868	20060	21767	16855	16101	18992	15888	19639	21122	31680	48628	43621	44004	56228	38664	42864	45383	31228	40295	54193	67173	34326	63636	56034	68770	65460	75341	43732	32806	15418	24128	20399	1482288
